Référence fournisseur;Titre;Nom société;N° bordereau;Nom demandeur;Date bordereau;Refus?;Commentaire demande;N° marché;Site;Sous-système;Référence fiche;;;
02 10 0001;DEPOT LES PINS - PLAN D'ENSEMBLE - ELECTRICITE;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;UT LES PINS;BASSE TENSION;70901;70901;;
02 84 016;B12 - SOUS SOL - LIAISON INFORMATIQUE;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;51358;#N/A;;
02 84 019;B12 - NIVEAU 2 MEZZANINE - LIAISON INFORMATIQUE;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;50987;#N/A;;
02 84 020;B12 - NIVEAU 3 ETAGE COURANT - LIAISON INFORMATIQUE;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;50936;#N/A;;
02 84 030;B12 - LOCAUX TECHNIQUE SOUS SOL - COUPES;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;50983;#N/A;;
02 84 035;B12 - SCHEMA DES LIAISONS 220V SECOURUES;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;51070;#N/A;;
02 84 036;B12 - SALLE INFORMATIQUE LIAISON 220V SECOURUES;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;51419;#N/A;;
02 84 041;B12 - SOUS SOL ARMOIRE ONDULEUR;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;51418;#N/A;;
02 84 056;B12 - NIVEAU 2 NORD - ARMOIRE INFORMATIQUE DE GESTION;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;51049;#N/A;;
02 84 058;B12 - REZ DE CHAUSSEE - TABLEAU & COFFRETS DISTRIBUTION BT;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;51091;#N/A;;
02 84 066;B12 - LOCAL REPROGRAPHIE RDC COFFRET DISTRIBUTION BT;BOUYGUES E. & S.;C.DOC/JG/20/2;NAIDJA;02/01/2020;;ONDULEUR CHARGEUR  2019;FM 826;SIEGE SOCIAL;BASSE TENSION;72928;#N/A;;
038071F038ES713BT00425;JEAN MACE - IMPLANTATION POSTE HT/BT ( LHB );ENGIE;C.DOC/JG/17/281;LAUGRAND;19/12/2017;;AVENIR METRO  CFO;M17 0080;JEAN MACE;BASSE TENSION;93968;93968;;
05 11 54 00 00;COMMUNS D - MR - DOC - MANUEL DE MAINTENANCE DES EQUIPEMENTS VOLUME 1 - ECLAIRAGE;;;;;;;;COMMUNS  D;MR METRO;16491;#N/A;Pas de bordereau sur TCLDOC;
05 11 55 00 00;COMMUNS D - MR - DOC - MANUEL DE MAINTENANCE DES EQUIPEMENTS VOLUME 1 - PORTES;;;;;;;;COMMUNS  D;MR METRO;16490;#N/A;;
118621F120ESSFGPG820540;PLACE JEAN JAURES - TABLEAU REPARTITION BT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;PLACE JEAN JAURES;BASSE TENSION;93601;93601;;
118621F120ESSFGPG820541;PLACE JEAN JAURES - ARMOIRE 48V ET FORMATION S/TRANCHES HT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;44314;;ONDLUEURS CHARGEURS    (2019);FM 826;PLACE JEAN JAURES;HAUTE TENSION;93602;93602;Problème algo;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-099\JEAN JAURES\118621F120ESSFGPG820541\See-Project.see
118621F120ESSFGPG820542;PLACE JEAN JAURES - ECLAIRAGE DE SECURITE;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;PLACE JEAN JAURES;BASSE TENSION;93603;93603;;
118621F120ESSFGPG820544;PLACE JEAN JAURES - TABLEAU EXPLOITATION BT;ENGIE;C.DOC/JG/18/146;LAUGRAND;16/05/2018;;AVENIR METRO CFO;M17 0080;PLACE JEAN JAURES;BASSE TENSION;93604;93604;;
118621F120ESSFGPG820544;PLACE JEAN JAURES - TABLEAU EXPLOITATION BT;SATELEC;C.DOC/LB/22/32;BERTIAUX;01/02/2022;O;INSTALLATION DE BALISES SONORES;M20-0112;PLACE JEAN JAURES;BASSE TENSION;93604;93604;;
118621F120ESSFGPG820545;PLACE JEAN JAURES - ARMOIRE BT LEE;ALSTOM;C.DOC/JG/19/26;RIFFARD;06/02/2019;;AUTOMATISMES AVENIR METRO;M16 0116;PLACE JEAN JAURES;BASSE TENSION;93605;93605;;
118621F120ESSFGPG820545;PLACE JEAN JAURES - ARMOIRE BT LEE;SPIE;C.DOC/JG/19/96;NDONG;09/05/2019;O;MODIFICATIONS DE PLUSIEURS ACCES CAS ET DEPLACEMENT DES EQUIPEMENTS D'EXPLOITATION DE L'ACCES SNCF PART DIEU VERS LE NOUVEL ACCES;M17 0074;PLACE JEAN JAURES;BASSE TENSION;93605;93605;;
118621F120ESSFGPG820545;PLACE JEAN JAURES - ARMOIRE BT LEE;SPIE;C.DOC/JG/21/232;VAIR;15/11/2021;O;AVM  CFA;M17 0079;PLACE JEAN JAURES;BASSE TENSION;93605;93605;;
118621F120ESSFGPG820549;PLACE JEAN JAURES - ESCALIER MECANIQUE 1.2.1;ENGIE;C.DOC/JG/18/146;LAUGRAND;16/05/2018;;AVENIR METRO CFO;M17 0080;PLACE JEAN JAURES;ELECTROMECANIQUE;93609;#N/A;Le fichier n'existe pas et on ne trouve pas le bordereau;
118621F120ESSFGPG820553;PLACE JEAN JAURES - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;O;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;PLACE JEAN JAURES;BASSE TENSION;93613;93613;;
118621F120ESSFGPG820553;PLACE JEAN JAURES - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;O;ONDLUEURS CHARGEURS    (2019);FM 826;PLACE JEAN JAURES;BASSE TENSION;93613;93613;;
118621F120ESSFGPG820553;PLACE JEAN JAURES - SCHEMA DES LIAISONS;ENGIE;C.DOC/JG/19/57;ROBARDET;13/03/2019;;AVENIR METRO SECOND OEUVRES;M18 0085 SOE;PLACE JEAN JAURES;BASSE TENSION;93613;93613;;
118621F120ESSFGPG850573;PLACE JEAN JAURES - CHEMINEMENTS SOUS-QUAI - VUE EN PLAN;ALSTHOM;C.DOC/JG/17/201;RIFFARD;28/09/2017;;;M16 0116;PLACE JEAN JAURES;BASSE TENSION;93488;93488;;
118621F120ESSFGPG850573;PLACE JEAN JAURES - CHEMINEMENTS SOUS-QUAI - VUE EN PLAN;EIFFAGE ENERGIE;C.DOC/JG/20/210;RATHAT;08/10/2020;O;MISE AJOUR DES PLANS D'IMPLANTATION POUR ARMOIRES DEPORTEE DE CHEMINEMENTS/ MODIFICATION COFFRET POMPIERS JAURES;M19 0079;PLACE JEAN JAURES;BASSE TENSION;93488;93488;;
118621F120ESSFGPG850573;PLACE JEAN JAURES - CHEMINEMENTS SOUS-QUAI - VUE EN PLAN;INEO;C.DOC/JG/21/263;LESAGE;13/12/2021;O;PROLONGEMENT DE LA LIGNE B DU METRO AUX HOPITAUX LYON SUD;M19/0078;PLACE JEAN JAURES;BASSE TENSION;93488;93488;;
118621F120ESSFGPG850573;PLACE JEAN JAURES - CHEMINEMENTS SOUS-QUAI - VUE EN PLAN;SPIE;C.DOC/JG/18/214;RUBIO;17/07/2018;O;MODIFICATION DE PLUSIEURS ACCES CAS ET DEPLACEMENT DES EQUIPEMENTS D'EXPLOITATION DE L'ACCES SNCF PART DIEU VERS LE NOUVEL ACCES;16S0186;PLACE JEAN JAURES;BASSE TENSION;93488;93488;;
118621F120ESSFGPG850574;PLACE JEAN JAURES - CHEMINEMENTS VUE EN PLAN ET COUPE - NIVEAU QUAI;EIFFAGE;C.DOC/JG/21/92;RATHAT;21/04/2021;;MISE AJOUR DES PLANS IMPLANTATION POUR ARMOIRES DEPORTEE DE CHEMINEMENT MODIF COFFRET POMIERS JAUNES;M19 0079;PLACE JEAN JAURES;BASSE TENSION;93618;93618;;
118621F120ESSFGPG950580;PLACE JEAN JAURES - IMPLANTATION DES EQUIPEMENTS ET CHEMINEMENTS LEE;ALSTOM;C.DOC/JG/17/146;RIFFARD;17/07/2017;;AUTOMATISMES;M16/0116;PLACE JEAN JAURES;BASSE TENSION;93619;93619;;
118621F122ESSFGPG820558;DEBOURG - TABLEAU REPARTITION BT;BOUYGUES E. & S.;C.DOC/JG/21/180;DARNER;23/08/2021;;ONDULEURS CHARGEURS (2019);FM 826;DEBOURG;BASSE TENSION;93992;93992;;
118621F122ESSFGPG820559;DEBOURG - TABLEAU EXPLOITATION BT;ENGIE;C.DOC/JG/18/146;LAUGRAND;16/05/2018;;AVENIR METRO CFO;M17 0080;DEBOURG;BASSE TENSION;93993;93993;;
118621F122ESSFGPG820559;DEBOURG - TABLEAU EXPLOITATION BT;SATELEC;C.DOC/LB/22/32;BERTIAUX;01/02/2022;O;INSTALLATION DE BALISES SONORES;M20-0112;DEBOURG;BASSE TENSION;93993;93993;;
118621F122ESSFGPG820560;DEBOURG - ARMOIRE BT LEE;ALSTOM;C.DOC/JG/19/26;RIFFARD;06/02/2019;;AUTOMATISMES AVENIR METRO;M16 0116;DEBOURG;BASSE TENSION;93994;93994;;
118621F122ESSFGPG820562;DEBOURG - ECLAIRAGE DE SECURITE;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;BASSE TENSION;93995;93995;;
118621F122ESSFGPG820563;DEBOURG - ARMOIRE 48V ET FORMATION DE S/TRANCHES HT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;HAUTE TENSION;93996;93996;Problème algo ;H:\Tcl\Prêt Plans\Prêt 2021\Bordereau 21-099\DEBOURG\118621F122ESSFGPG820563\See-Project.see
118621F122ESSFGPG820571;DEBOURG - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/27;NAIDJA;04/02/2021;O;MODIFICATION DES COMMANDES A DISTANCE DES PORTAILS ACCES METRO LIGNE B;20S0007;DEBOURG;BASSE TENSION;94012;94012;;
118621F122ESSFGPG820571;DEBOURG - SCHEMA DES LIAISONS;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;O;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;BASSE TENSION;94012;94012;;
118621F122ESSFGPG820571;DEBOURG - SCHEMA DES LIAISONS;ENGIE;C.DOC/JG/18/270;ROBARDET;08/10/2018;;AVENIR METRO SECOND OEUVRES;M17 0080 SOE;DEBOURG;BASSE TENSION;94012;94012;;
118621F122ESSFGPG850581;DEBOURG - IMPLANTATION EQUIPEMENTS DU LOCAL HT/BT;BOUYGUES E. & S.;C.DOC/JG/21/99;DARNER;28/04/2021;;ONDLUEURS CHARGEURS    (2019);FM 826;DEBOURG;BASSE TENSION;94030;94030;;
118621F122ESSFGPG850583;DEBOURG - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN ET COUPE;ALSTOM;C.DOC/LB/22/9;DJOLOLIAN;07/01/2022;O;AUTOMATISMES AVM;M16-0116;DEBOURG;BASSE TENSION;94031;94031;;
118621F122ESSFGPG850583;DEBOURG - CHEMINEMENTS NIVEAU SOUS-QUAI - VUE EN PLAN ET COUPE;EIFFAGE ENERGIE;C.DOC/JG/21/264;RATHAT;13/12/2021;;MISE A JOUR DES PLANS D'IMPLANTATION POUR ARMOIRE DEPORTEE DE CHEMINEMENTS/MODIFICATION COFFRET POMPIERS JAURES;M19 0079;DEBOURG;BASSE TENSION;94031;94031;;
