REFFIC;DEFINITIF;FICHIER;LIBFIC;DATE_ARRIVEE;LIBELLE;LIBSITE;BOITE_ARCHIVE;PAGES;LIBSSYST;ARMOIRE;TYP_DOC;SUPPORT_DOC;ETAGERE;CHEMISE;BOITE;CARTON;CLASSEUR;TIROIR;MOTS;INDICE_DERN_VERS;DATE_DERN_VERS;NUMERO_REF_FOURN;;UTILISATEUR_DIFFUSION;DATE_MAD;NDMD_MAD;SOCIETE_MAD;NOM_DMD_MAD;CONTRAT_MAD;COMMENTAIRE_MAD
1;D;;REMARQUES SEMALY SUR STRUCTURATION IMAGES GESTION TRAFIC C;17/06/1982;AA : LIGNE D;THIOLEY;;0;PCC;38;TEXTE;PAPIER;;;;;;;;A;01/01/1950;AA00AA X0000 311000 E10 SL 000134;TCLDOC;;;;;;;
100;D;;BOSSAGE - CHASSIS DE BOGIE LONGERON;25/07/1991;AA : LIGNE D;THIOLEY;;0;MR METRO;30;PLAN;POLYESTER;;;;;;;CHASSIS|BOSSAGE|BOGIE|MECANIQUE;C;03/10/1986;AA00AA X0000 0625 FB-000236|TR-5633992;SEMALY-GEC ALSTHOM;UTMD ATV;;;;;;
10009;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304421.pdf;GRANGE BLANCHE - SALLE A RELAIS CHASSIS B1;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;6;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304421;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
10010;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304431.pdf;GRANGE BLANCHE - SALLE A RELAIS ARMOIRE CDV C1;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;voir BE;4;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/02/1993;AA00AA X0000 0730 ST-304431;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
10011;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Ateliers Thioley\ST307403.pdf;ATELIERS THIOLEY - SALLE A RELAIS CHASSIS A3;17/09/2012;AA : LIGNE D;THIOLEY;Voir BE;7;SIG METRO;SERVEUR;;.TIFF;;;;;;;;L;01/09/2003;AA00AA X0000 0730 ST-307403;SEMALY;UTMD ATS;02/11/2018;C.DOC/JG/18/300;ALSTOM;RIFFARD;M16 0116;AVENIR METRO  AUTOMATISMES
10013;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Ateliers Thioley\ST307424.pdf;ATELIERS THIOLEY - SALLE A RELAIS CHASSIS B4;17/09/2012;AA : LIGNE D;THIOLEY;Voir BE;8;SIG METRO;SERVEUR;;.TIFF;;;;;;;;I;01/02/1993;AA00AA X0000 0730 ST-307424;SEMALY;UTMD ATS;02/11/2018;C.DOC/JG/18/300;ALSTOM;RIFFARD;M16 0116;AVENIR METRO  AUTOMATISMES
10014;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Grange Blanche\ST304000.pdf;GRANGE BLANCHE - BORDEREAU GENERAL SCHEMAS;20/09/2012;AA : LIGNE D;GRANGE BLANCHE;Voir BE;1;SIG METRO;SERVEUR;;.TIFF;;;;;;;;M;31/05/2002;AA00AA X0000 0730 ST-304000;SEMALY;UTMD ATS;04/02/2019;C.DOC/JG/19/14;ALSTOM;RIFFARD;M16 0116;AVENIR METRO AUTOMATISMES
10026;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Saint Jean Vieux Lyon\ST302510.pdf;SAINT JEAN-VIEUX LYON - COFFRET AIGUILLE 13;27/09/2012;AA : LIGNE D;VIEUX LYON;voir BE;9;SIG METRO;SERVEUR;;.TIFF;;;;;;;;I;01/02/1993;AA00AA X0000 0730 ST-302510;SEMALY;UTMD ATS;25/06/2019;C.DOC/JG/19/121;ALSTOM;RIFFARD;M16-0116;AVENIR METRO AUTOMATISMES
10027;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Ateliers Thioley\ST307500.pdf;ATELIERS THIOLEY - CAMPAGNE;17/09/2012;AA : LIGNE D;THIOLEY;voir BE;1;SIG METRO;SERVEUR;;.TIFF;;;;;;;;J;01/09/2003;AA00AA X0000 0730 ST-307500;SEMALY;UTMD ATS;02/11/2018;C.DOC/JG/18/300;ALSTOM;RIFFARD;M16 0116;AVENIR METRO  AUTOMATISMES
10028;P;\Utmd\CDOC_CONSULTATIONS\Métro D - Stations\Saint Jean Vieux Lyon\ST302460.pdf;SAINT JEAN-VIEUX LYON - SALLE A RELAIS CATALOGUE DU MATERIEL POSTE;27/09/2012;AA : LIGNE D;VIEUX LYON;voir BE;14;SIG METRO;SERVEUR;;.TIFF;;;;;;;;I;01/02/2008;AA00AA X0000 0730 ST-302460;SEMALY;UTMD ATS;25/06/2019;C.DOC/JG/19/121;ALSTOM;RIFFARD;M16-0116;AVENIR METRO AUTOMATISMES
100298;D;;REGLAGES MOTEUR MC 15 BRC SUR BANC TEST;12/01/2006;AA : LIGNE D;THIOLEY;;;SIG METRO;44;TEXTE;PAPIER;;;;;;;REGLAGE|MOTEUR|SIGNALISATION|TEST|BANC;B;06/09/2005;MOP 401|AA00AA X0000 400000 X96 TD 000001;SLTC-TCLDOC;;;;;;;
