NIVEAU 1;NIVEAU 2;Zone;NIVEAU 3;NUM_PLAN;INDICE;LIBELLE;Chemin;Code Ouvrage;Ligne;Extension
0_PLANS REDUITS;;;;A001In;A;Plan réduit du Terminus Perrache;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\0-plans réduits\a001in.pdf;A001In;A;PDF
0_PLANS REDUITS;;;;A001In;A;Plan réduit du Terminus Perrache;K:\INT-Sply-pat\Plans Numerises\TIF\Ligne_A\Bellecour\A001In\0-plans réduits\a001 in.tif;A001In;A;TIF
1_PLANS GENERAUX;;;;EA00560;B;Station Perrache remplissage agglos entre voutes Gare Lyon Perrache;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\1-plans généraux\ea00560.pdf;A001In;A;PDF
1_PLANS GENERAUX;;;;EA00560;B;Station Perrache remplissage agglos entre voutes Gare Lyon Perrache;K:\INT-Sply-pat\Plans Numerises\TIF\Ligne_A\Bellecour\A001In\1-plans généraux\ea00560.tif;A001In;A;TIF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00524;E;Zone sous voutes  plan - coupes - détails;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00524.pdf;A001In;A;PDF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00524;E;Zone sous voutes  plan - coupes - détails;K:\INT-Sply-pat\Plans Numerises\TIF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00524.tif;A001In;A;TIF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00527;C;Zone sous voutes  Planche 1   FERRAILLAGE;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00527.pdf;A001In;A;PDF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00527;C;Zone sous voutes  Planche 1   FERRAILLAGE;K:\INT-Sply-pat\Plans Numerises\TIF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00527.tif;A001In;A;TIF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00528;B;Zone sous voutes - Planche 2 -  FERRAILLAGE;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00528.pdf;A001In;A;PDF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00601;A;Zone sous voutes - Dalle A + 167,175 - Planche1 - FERRAILLAGE .;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00601.pdf;A001In;A;PDF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00602;A;Zone sous voutes - Dalle A + 167,175 - Planche 2 - FERRAILLAGE .;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00602.pdf;A001In;A;PDF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EAN0527;C;Zone sous voutes  Planche 1   Nomenclature;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ean0527.pdf;A001In;A;PDF
4 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EAN0528;B;Zone sous voutes - Planche 2 -  Nomenclature;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ean0528.pdf;A001In;A;PDF
5 _STRUCTURES;4.8_OUVRAGE SPECIAUX;;;EA00747;B;Prolongement sous les voutes du trottoir de manoeuvres Coffrage Ferraillage;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A001In\4-structures\4-8-ouvrages spéciaux\ea00747.pdf;A001In;A;PDF
0_PLANS REDUITS;;;;A002Sn;A;Plan réduit de la station Perrache;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A002Sn\0-plans réduits\a002sn.pdf;A002Sn;A;PDF
1_PLANS GENERAUX;;;;EA00529;B;Station Perrache nivellement sous  quai;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A002Sn\1-plans généraux\ea00529.pdf;A002Sn;A;PDF
1_PLANS GENERAUX;;;;EA00679;C;Béton de 2ème phase vue en plan;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A002Sn\1-plans généraux\ea00679.pdf;A002Sn;A;PDF
1_PLANS GENERAUX;;;;EA00685;B;Zone avec engravure béton de 2ème phase;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A002Sn\1-plans généraux\ea00685.pdf;A002Sn;A;PDF
4_STRUCTURES;4.0_NOTES DE CALCUL;;;EA00103;A;Quai et locaux techniques;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A002Sn\4-structures\4-0-notes de calcul général-notes d'hypothèses\ea00103.pdf;A002Sn;A;PDF
4_STRUCTURES;4.3_VOILES;;A|B|C;EA00613;B;Station Perrache Zones A-B-C- 9.10 voiles coté ouest Ferraillage;K:\INT-Sply-pat\Plans Numerises\PDF\Ligne_A\Bellecour\A002Sn\4-structures\zone n° abc\ea00613.pdf;A002Sn;A;PDF
