Mode;Ligne;Site;Nom Dossier
TRAM;T2;ALFRED DE VIGNY;Alfred de Vigny
BUS;HORS LIGNES FORTES;ALSACE UTN 1 ET UMS;
BUS;HORS LIGNES FORTES;ALSACE UTN 2;
TRAM;T2;AMBROISE PARE;Ambroise Paré
METRO;MA;AMPERE;Ampère
BUS;HORS LIGNES FORTES;ARCHIVES S/STATIONS;
METRO;MD;ARCHIVES USEQ;
METRO;MA;ARCHIVES USVB;
METRO;MB;ARCHIVES USVB;
METRO;MC;ARCHIVES USVB;
METRO;MA;ARCHIVES UTMA;
METRO;MB;ARCHIVES UTMA;
METRO;MC;ARCHIVES UTMA;
TRAM;T2;BACHUT - MAIRIE DU 8EME;Bachut - Mairie du 8ème
TRAM;T6;BEAUVISAGE CISL;Beauvisage CISL
TRAM;T6;BEAUVISAGE PRESSENSE;Beauvisage Pressensé
METRO;MA;BELLECOUR A & D;Bellecour
METRO;MD;BELLECOUR A & D;Bellecour
TRANSVERSE;TRANSVERSE;BELLECOUR AGENCE;
TRAM;T2;BERTHELOT A AMBROISE PARE;
METRO;MA;BONNEVAY;Bonnevay
TRAM;T2;BOUTASSE - C.ROUSSET;Boutasse - Camille Rousset
METRO;MB;BROTTEAUX;Brotteaux
TRAM;T3;BUE Boulevard Urbain Est;
TRAM;T1;C.HERNU A IUT FEYSSINE;
TRAM;T4;CAGNE - HERRIOT;Cagne- Herriot
TRAM;T3;CARREAU SOUS STATION;Carreau s.station
TRAM;T2;CENTRE BERTHELOT;Centre Berthelot
BUS;HORS LIGNES FORTES;CENTRE S/STATION;
TRAM;T6;CHALLEMEL-LACOUR ARTILLERIE;Challemel-Lacour Artillerie + Sous station
TRAM;T1;CHARPENNES - CHARLES HERNU;Charpennes- Charles Hernu + s.station
METRO;MA;CHARPENNES A & B;Charpennes A et B
METRO;MB;CHARPENNES A & B;Charpennes A et B
TRAM;T4;CLINIQUE FEYZIN;Clinique Feyzin + s.station
TRAM;T1;COLLEGE BELLECOMBE;Collège Bellecombe
TRANSVERSE;TRANSVERSE;COMMUN TCL;
TRAM;T1;COMMUN TRAMWAY EXT. MONTROCHET;
TRAM;T2;COMMUN TRAMWAY EXT. ST PRIEST;
METRO;MA;COMMUNS  A;
METRO;MA;COMMUNS  A & B;
METRO;MB;COMMUNS  A & B;
METRO;MA;COMMUNS  A , B & C;
METRO;MB;COMMUNS  A , B & C;
METRO;MC;COMMUNS  A , B & C;
METRO;MB;COMMUNS  B;
METRO;MC;COMMUNS  C;
METRO;MD;COMMUNS  D;
BUS;HORS LIGNES FORTES;COMMUNS BUS;
METRO;FUN;COMMUNS FUN;
METRO;MA;COMMUNS METRO;
METRO;MB;COMMUNS METRO;
METRO;MC;COMMUNS METRO;
METRO;MD;COMMUNS METRO;
METRO;FUN;COMMUNS METRO;
TRANSVERSE;TRANSVERSE;COMMUNS RESEAU;
BUS;HORS LIGNES FORTES;COMMUNS S/STATION;
BUS;HORS LIGNES FORTES;COMMUNS SURFACE;
TRAM;T1;COMMUNS TRAMWAY;
TRAM;T2;COMMUNS TRAMWAY;
TRAM;T3;COMMUNS TRAMWAY;
TRAM;T4;COMMUNS TRAMWAY;
TRAM;T5;COMMUNS TRAMWAY;
TRAM;T6;COMMUNS TRAMWAY;
TRAM;T1;COMMUNS TRAMWAY T1;
TRAM;T2;COMMUNS TRAMWAY T2;
TRAM;T3;COMMUNS TRAMWAY T3;
TRAM;T4;COMMUNS TRAMWAY T4;
TRAM;T5;COMMUNS TRAMWAY T5;
TRAM;T6;COMMUNS TRAMWAY T6;
TRAM;T1;CONDORCET;Condorcet
METRO;MA;CORDELIERS;Cordeliers
TRAM;T2;CORDIERE;Cordière
METRO;T1;CROIX LUIZET;Croix - Luizet
METRO;MC;CROIX PAQUET;Croix-Paquet
METRO;MC;CROIX ROUSSE;Croix-Rousse
BUS;HORS LIGNES FORTES;CROIX ROUSSE S/STATION;
TRAM;T4;CROIZAT - PAUL BERT;Croizat - Paul Bert
METRO;MC;CUIRE;Cuire
TRAM;T5;CURIAL;Curial
METRO;MA;CUSSET;Cusset
TRAM;T4;DARNAISE;Darnaise
TRAM;T3;DAUPHINE;Dauphiné + s.station
BUS;HORS LIGNES FORTES;DAUPHINE S/STATION;
METRO;MB;DEBOURG;Debourg
TRAM;T1;DEBOURG;Debourg + s.station
TRAM;T1;DEBOURG S/STATION;Debourg + s.station
TRAM;T1;DEBRANCHEMENT L1/L2;
TRAM;T2;DEBRANCHEMENT L1/L2;
TRAM;T6;DESGENETTES;Desgenettes
TRANSVERSE;TRANSVERSE;DIR SERVICES TECHNIQUES;
BUS;HORS LIGNES FORTES;DIVERS SURFACE;
TRAM;T4;DIVISION LECLERC/SST CERISIER;Division Leclerc + s.station Cerisiers
BUS;HORS LIGNES FORTES;DUCHERE PARC RELAIS;
BUS;HORS LIGNES FORTES;DUCHERE S/STATION;
BUS;HORS LIGNES FORTES;DUCHERE SITE PROPRE;
TRAM;T1;ENS LYON;ENS Lyon
TRAM;T2;ESPLANADE DES ARTS;Esplanade des Arts - Lycée Condorcet
TRAM;T2;ESSARTS - IRIS;Essarts - Iris
TRAM;T6;ESSARTS - LAENNEC;Essarts - Laênnec
TRAM;T4;ETATS-UNIS TONY GARNIER;Etats-Unis Tony Garnier
TRAM;T4;ETATS-UNIS VIVIANI;Etats-Unis Viviani
TRAM;T5;EUREXPO;Eurexpo + SST Eurexpo
TRAM;T2;EUROPE UNIVERSITE;Europe Université
TRAM;T4;FELIX FAURE DAUPHINE;Félix Faure Dauphiné + s.station
METRO;MA;FLACHET;Flachet
METRO;MA;FOCH;Foch
METRO;FUN;FOURVIERE;Fourvière
TRAM;T3;GARE DE DECINES;Gare de Décines
TRAM;T3;GARE DE MEYZIEU;Gare de Meyzieu
METRO;MD;GARE DE VAISE;Gare de Vaise
METRO;MD;GARE DE VENISSIEUX;Gare de Venissieux
TRAM;T4;GARE DE VENISSIEUX;Gare de Venissieux + s.station
TRAM;T3;GARE DE VILLEURBANNE;Gare de Villeurbanne + s.station
TRAM;T3;GARE DE VILLEURBANNE S/STATION;Gare de Villeurbanne + s.station
METRO;MB;GARE OULLINS;Gare Oullins
METRO;MD;GARIBALDI;Garibaldi
TRAM;T2;GARIBALDI BERTHELOT;Garibaldi Berthelot
TRAM;T1;GARIBALDI SERVIENT;
METRO;MB;GERLAND;Gerland
TRAM;T3;GODARD SOUS STATION;Godard + s.station
METRO;MD;GORGE DE LOUP;Gorge de Loup
TRAM;T3;GRAND LARGE;Grand Large
TRAM;T3;GRAND STADE;Grand Stade + s.station
BUS;HORS LIGNES FORTES;GRANDCLEMENT S/STATION;
METRO;MD;GRANGE BLANCHE;Grange Blanche
TRAM;T2;GRANGE BLANCHE;Grange Blanche
TRAM;T5;GRANGE BLANCHE;Grange Rouge - Santy
TRAM;T6;GRANGE ROUGE - SANTY;Grange Rouge - Santy
METRO;MA;GRATTE CIEL;Gratte-ciel
METRO;MB;GUICHARD;Guichard
METRO;MD;GUILLOTIERE;Guillotière
TRAM;T1;GUILLOTIERE;Guillotière
TRAM;T1;HALLE TONY GARNIER;Halle Tony Garnier
TRAM;T2;HAUTS DE FEUILLY;Hauts de Feuilly + s.station
METRO;MC;HENON ATELIERS;Ateliers Hénon
METRO;MC;HENON STATION;Hénon
TRAM;T6;HOPITAUX EST - PINEL;Hopitaux Est - Pinel
METRO;MA;HOTEL DE VILLE A & C;Hotel de Ville A et C
METRO;MC;HOTEL DE VILLE A & C;Hôtel de Ville
TRAM;T2;HOTEL DE VILLE BRON;Hôtel de Ville - Bron
METRO;MC;HOTEL DE VILLE C;Hôtel de Ville
METRO;MA;HOTEL DE VILLE LIGNE A;
TRAM;T1;INSA EINSTEIN;Insa Einstein + s.st Einstein
METRO;MA;INTERSTATIONS  A;
METRO;MB;INTERSTATIONS  B;
METRO;MC;INTERSTATIONS  C;
METRO;MD;INTERSTATIONS  D;
TRAM;T1;IUT - FEYSSINE;IUT Feyssine + s.st Feyssine
METRO;MB;JEAN MACE;Jean Macé
TRAM;T2;JEAN MACE;Jean Macé + s.station
TRAM;T2;JEAN XXIII - MARYSE BASTIE;Jean XXIII - Maryse Bastié + s.station
TRAM;T4;JET D EAU - MENDES FRANCE;Jet d'eau Mendes France
TRAM;T4;JOLIOT CURIE - MARCEL SEMBAT;Jolliot Curie - Marcel Sembat + s.station
TRAM;T2;JULES FERRY;Jules Ferry
TRAM;T4;LA BORELLE;La Borelle
TRAM;T2;LA COTIERE;
