Chemin du fichier;Référence Fiche;lists
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDD080008\0072TDD080008.pdf;32353;['0072TDD080008', '0072TDD080008']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDD080008\0072TDD080008.pdf;32353;['0072TDD080008', '0072TDD080008']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDD080009\0072TDD080009.pdf;32356;['0072TDD080009', '0072TDD080009']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDD080009\0072TDD080009.pdf;32356;['0072TDD080009', '0072TDD080009']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080043\0072TDP080043.tif;16385;['0072TDP080043', '0072TDP080043']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080043\0072TDP080043.tif;16385;['0072TDP080043', '0072TDP080043']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080043\Thumbs.db;16385;['0072TDP080043']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080067\0072TDP080067.pdf;6787;['0072TDP080067', '0072TDP080067']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080067\0072TDP080067.pdf;6787;['0072TDP080067', '0072TDP080067']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080067\0072TDP080067.tif;6787;['0072TDP080067', '0072TDP080067']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080067\0072TDP080067.tif;6787;['0072TDP080067', '0072TDP080067']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080067\Thumbs.db;6787;['0072TDP080067']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080070\0072TDP080070.pdf;6757;['0072TDP080070', '0072TDP080070']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080070\0072TDP080070.pdf;6757;['0072TDP080070', '0072TDP080070']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080070\0072TDP080070.tif;6757;['0072TDP080070', '0072TDP080070']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080070\0072TDP080070.tif;6757;['0072TDP080070', '0072TDP080070']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080070\Thumbs.db;6757;['0072TDP080070']
H:\Tcl\105 à 122 - Métro A - stations\Bellecour\00 Bâtiment\0072TDP080071\0072TDP080071.pdf;6788;['0072TDP080071', '0072TDP080071']
